store_id,product_id,current_stock,reorder_level,target_stock,last_restock_date,supplier_id
S003,P027,61,20,81,2026-08-20,SUP04
S003,P028,72,24,92,2026-08-19,SUP03
S003,P029,83,27,103,2026-08-18,SUP02
S003,P030,94,31,114,2026-08-17,SUP03
S003,P031,35,11,55,2026-08-16,SUP01
S003,P032,46,15,66,2026-08-15,SUP04
S003,P033,57,19,77,2026-08-14,SUP02
S003,P034,68,22,88,2026-08-31,SUP01
S003,P035,79,26,99,2026-08-30,SUP04
S003,P036,90,30,110,2026-08-29,SUP03
S003,P037,31,10,51,2026-08-28,SUP02
S003,P038,42,14,62,2026-08-27,SUP04
S003,P039,53,17,73,2026-08-26,SUP01
S003,P040,64,21,84,2026-08-25,SUP03
S004,P001,51,17,71,2026-08-27,SUP01
S004,P002,73,24,93,2026-08-26,SUP01
S004,P003,84,28,104,2026-08-25,SUP02
S004,P004,95,31,115,2026-08-24,SUP02
S004,P005,36,12,56,2026-08-23,SUP03
S004,P006,47,15,67,2026-08-22,SUP03
S004,P007,58,19,78,2026-08-21,SUP04
S004,P008,69,23,89,2026-08-20,SUP04
S004,P009,80,26,100,2026-08-19,SUP01
S004,P010,72,24,92,2026-08-18,SUP02
S004,P011,32,10,52,2026-08-17,SUP01
S004,P012,43,14,63,2026-08-16,SUP04
S004,P013,54,18,74,2026-08-15,SUP02
S004,P014,65,21,85,2026-08-14,SUP01
S004,P015,76,25,96,2026-08-31,SUP03
S004,P016,87,29,107,2026-08-30,SUP03
S004,P017,98,32,118,2026-08-29,SUP02
S004,P018,39,13,59,2026-08-28,SUP04
S004,P019,50,16,70,2026-08-27,SUP01
S004,P020,100,33,120,2026-08-26,SUP03
S004,P021,72,24,92,2026-08-25,SUP02
S004,P022,83,27,103,2026-08-24,SUP01
S004,P023,94,31,114,2026-08-23,SUP04
S004,P024,35,11,55,2026-08-22,SUP03
S004,P025,46,15,66,2026-08-21,SUP02
S004,P026,57,19,77,2026-08-20,SUP01
S004,P027,68,22,88,2026-08-19,SUP04
S004,P028,79,26,99,2026-08-18,SUP03
S004,P029,90,30,110,2026-08-17,SUP02
S004,P030,31,10,51,2026-08-16,SUP03
S004,P031,42,14,62,2026-08-15,SUP01
S004,P032,53,17,73,2026-08-14,SUP04
S004,P033,64,21,84,2026-08-31,SUP02
S004,P034,75,25,95,2026-08-30,SUP01
S004,P035,86,28,106,2026-08-29,SUP04
S004,P036,97,32,117,2026-08-28,SUP03
S004,P037,38,12,58,2026-08-27,SUP02
S004,P038,49,16,69,2026-08-26,SUP04
S004,P039,60,20,80,2026-08-25,SUP01
S004,P040,71,23,91,2026-08-24,SUP03
